Team,GP,W,L,Win %,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,Plus/Minus,Month
Houston Rockets,1,1,0,1.0,53.0,153.0,52.0,101.0,51.5,19.0,48.0,39.6,30.0,39.0,76.9,7.0,36.0,43.0,26.0,9.0,12.0,10.0,4.0,31.0,36.0,4.0,July
Los Angeles Lakers,1,1,0,1.0,48.0,103.0,32.0,82.0,39.0,11.0,36.0,30.6,28.0,37.0,75.7,11.0,34.0,45.0,21.0,16.0,6.0,3.0,5.0,27.0,30.0,2.0,July
Milwaukee Bucks,1,1,0,1.0,48.0,119.0,39.0,84.0,46.4,13.0,41.0,31.7,28.0,34.0,82.4,7.0,40.0,47.0,25.0,15.0,9.0,7.0,5.0,26.0,28.0,7.0,July
Orlando Magic,1,1,0,1.0,48.0,128.0,46.0,87.0,52.9,11.0,31.0,35.5,25.0,28.0,89.3,6.0,36.0,42.0,31.0,14.0,8.0,3.0,2.0,23.0,25.0,10.0,July
Phoenix Suns,1,1,0,1.0,48.0,125.0,42.0,80.0,52.5,11.0,32.0,34.4,30.0,32.0,93.8,4.0,33.0,37.0,29.0,18.0,10.0,3.0,2.0,24.0,26.0,13.0,July
Portland Trail Blazers,1,1,0,1.0,53.0,140.0,49.0,91.0,53.8,13.0,30.0,43.3,29.0,34.0,85.3,9.0,33.0,42.0,27.0,17.0,10.0,9.0,5.0,36.0,26.0,5.0,July
San Antonio Spurs,1,1,0,1.0,48.0,129.0,48.0,90.0,53.3,11.0,25.0,44.0,22.0,27.0,81.5,9.0,33.0,42.0,32.0,15.0,6.0,4.0,2.0,17.0,25.0,9.0,July
Utah Jazz,1,1,0,1.0,48.0,106.0,37.0,84.0,44.0,8.0,34.0,23.5,24.0,28.0,85.7,12.0,31.0,43.0,17.0,20.0,11.0,6.0,2.0,23.0,25.0,2.0,July
Boston Celtics,1,0,1,0.0,48.0,112.0,37.0,91.0,40.7,11.0,37.0,29.7,27.0,34.0,79.4,14.0,34.0,48.0,18.0,16.0,8.0,5.0,7.0,28.0,26.0,-7.0,July
Brooklyn Nets,1,0,1,0.0,48.0,118.0,44.0,91.0,48.4,13.0,42.0,31.0,17.0,23.0,73.9,10.0,29.0,39.0,30.0,14.0,4.0,2.0,3.0,25.0,23.0,-10.0,July
Dallas Mavericks,1,0,1,0.0,53.0,149.0,50.0,105.0,47.6,21.0,49.0,42.9,28.0,38.0,73.7,13.0,42.0,55.0,30.0,20.0,7.0,4.0,10.0,36.0,31.0,-4.0,July
LA Clippers,1,0,1,0.0,48.0,101.0,32.0,74.0,43.2,16.0,36.0,44.4,21.0,28.0,75.0,4.0,32.0,36.0,17.0,22.0,6.0,5.0,3.0,30.0,27.0,-2.0,July
Memphis Grizzlies,1,0,1,0.0,53.0,135.0,42.0,93.0,45.2,13.0,41.0,31.7,38.0,50.0,76.0,10.0,29.0,39.0,25.0,13.0,9.0,5.0,9.0,26.0,36.0,-5.0,July
New Orleans Pelicans,1,0,1,0.0,48.0,104.0,40.0,94.0,42.6,11.0,31.0,35.5,13.0,18.0,72.2,15.0,30.0,45.0,22.0,21.0,12.0,2.0,6.0,25.0,23.0,-2.0,July
Sacramento Kings,1,0,1,0.0,48.0,120.0,46.0,95.0,48.4,12.0,38.0,31.6,16.0,20.0,80.0,8.0,34.0,42.0,22.0,18.0,11.0,2.0,4.0,25.0,17.0,-9.0,July
Washington Wizards,1,0,1,0.0,48.0,112.0,42.0,91.0,46.2,8.0,22.0,36.4,20.0,23.0,87.0,8.0,28.0,36.0,18.0,18.0,7.0,2.0,3.0,26.0,24.0,-13.0,July
Phoenix Suns,7,7,0,1.0,48.0,121.9,44.9,91.4,49.1,13.3,32.4,41.0,18.9,21.1,89.2,10.1,38.4,48.6,27.4,11.3,6.0,3.7,4.6,20.9,20.3,13.1,August
Toronto Raptors,8,7,1,0.875,48.0,110.9,37.6,83.3,45.2,14.4,36.8,39.1,21.3,27.8,76.6,8.4,38.5,46.9,24.0,17.9,8.9,5.3,7.0,22.9,23.6,4.5,August
Indiana Pacers,8,6,2,0.75,48.0,110.3,41.9,89.1,47.0,11.9,32.4,36.7,14.6,18.6,78.5,7.9,34.8,42.6,25.3,14.3,9.1,5.3,5.5,21.4,20.3,2.1,August
Boston Celtics,7,5,2,0.714,48.7,119.9,42.9,88.9,48.2,14.3,37.1,38.5,19.9,24.7,80.3,10.1,36.6,46.7,25.4,15.1,8.3,6.1,4.7,22.4,20.4,9.4,August
Brooklyn Nets,7,5,2,0.714,48.0,120.1,43.7,92.0,47.5,14.9,40.1,37.0,17.9,23.4,76.2,8.9,35.0,43.9,27.4,13.1,6.7,4.1,4.9,23.3,23.3,1.4,August
LA Clippers,7,5,2,0.714,48.7,120.0,42.3,87.4,48.4,14.4,35.9,40.2,21.0,26.7,78.6,8.9,37.7,46.6,23.6,11.9,7.0,2.1,3.0,21.9,22.9,7.0,August
Portland Trail Blazers,7,5,2,0.714,48.0,124.0,44.3,94.3,47.0,15.7,38.1,41.2,19.7,23.4,84.1,11.3,33.0,44.3,23.6,10.1,7.7,4.4,4.0,22.6,22.9,2.3,August
San Antonio Spurs,7,4,3,0.571,48.0,120.0,42.6,88.9,47.9,11.1,26.7,41.7,23.7,29.0,81.8,10.9,36.1,47.0,24.7,15.3,8.3,5.9,4.4,21.1,22.9,3.3,August
Oklahoma City Thunder,8,4,4,0.5,49.3,107.6,37.6,88.6,42.5,13.0,36.6,35.5,19.4,24.8,78.3,9.5,35.3,44.8,20.3,15.6,7.9,4.0,3.5,23.1,22.4,-1.8,August
Philadelphia 76ers,8,4,4,0.5,48.0,120.1,43.6,89.5,48.7,13.3,31.9,41.6,19.6,25.4,77.3,11.4,33.9,45.3,25.3,14.3,6.9,5.0,5.4,23.4,21.6,3.8,August
Dallas Mavericks,7,3,4,0.429,49.4,118.7,41.0,91.4,44.8,12.7,38.1,33.3,24.0,28.7,83.6,9.4,35.6,45.0,25.6,10.9,4.9,3.6,4.6,21.4,25.3,-4.3,August
Houston Rockets,7,3,4,0.429,48.0,109.9,36.0,86.9,41.4,17.3,54.4,31.8,20.6,24.7,83.2,4.9,33.7,38.6,22.3,15.6,10.6,4.6,5.0,21.9,21.4,-4.4,August
Sacramento Kings,7,3,4,0.429,48.7,118.9,44.9,92.4,48.5,13.4,36.3,37.0,15.7,20.3,77.5,10.1,33.4,43.6,27.7,14.7,8.1,2.9,3.1,24.3,21.3,-2.1,August
Denver Nuggets,8,3,5,0.375,49.9,118.5,43.8,88.8,49.3,11.8,32.1,36.6,19.3,24.5,78.6,10.9,32.1,43.0,28.5,14.4,7.1,4.4,4.0,22.8,24.4,-4.8,August
Miami Heat,8,3,5,0.375,48.0,111.1,38.0,84.3,45.1,13.9,39.9,34.8,21.3,25.9,82.1,8.5,34.5,43.0,25.4,15.0,8.4,5.1,3.4,22.3,23.0,0.6,August
Los Angeles Lakers,7,2,5,0.286,48.0,106.9,38.6,86.9,44.4,9.7,32.1,30.2,20.0,27.9,71.8,11.1,31.0,42.1,21.7,15.7,9.3,5.0,3.3,20.7,23.4,-8.3,August
Memphis Grizzlies,7,2,5,0.286,48.0,109.4,40.7,89.7,45.4,10.7,33.9,31.6,17.3,22.1,78.1,9.3,36.7,46.0,26.1,15.4,6.7,4.3,4.3,23.7,22.1,-0.4,August
Milwaukee Bucks,7,2,5,0.286,48.7,118.9,41.6,89.4,46.5,14.4,41.3,34.9,21.3,29.1,73.0,9.6,42.6,52.1,25.6,16.9,5.3,4.6,3.4,22.6,24.6,-0.7,August
New Orleans Pelicans,7,2,5,0.286,48.0,114.4,42.3,86.0,49.2,10.7,30.9,34.7,19.1,26.3,72.8,9.0,33.0,42.0,26.0,17.4,5.9,4.0,4.7,22.0,25.4,-5.4,August
Orlando Magic,7,2,5,0.286,48.7,112.7,39.3,86.9,45.2,12.3,34.7,35.4,21.9,27.7,78.9,10.1,34.6,44.7,22.4,14.7,6.9,3.0,3.4,24.0,21.0,-3.0,August
