Team,GP,W,L,Win %,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,Plus/Minus,3PAr,eFG%,TS%,PPP,OffRtg,PACE
Atlanta Hawks,67.0,20.0,47.0,0.29850746268656714,48.61940298507463,111.7597014925373,40.635820895522386,90.54029850746268,0.44881474399129606,12.013432835820895,36.047761194029846,0.33326432593574035,18.453731343283582,23.37462686567164,0.7894770448885767,9.870149253731343,33.39253731343284,43.26268656716418,23.955223880597014,16.22089552238806,7.822388059701493,5.097014925373134,6.394029850746269,23.107462686567164,20.943283582089553,-7.962686567164179,0.3981405163034519,0.5151577593880848,0.5542254034027289,1.0427691460988102,104.27691460988102,105.81047797390636
Boston Celtics,76.0,52.0,24.0,0.6842105263157895,48.40921052631579,113.60131578947369,41.13815789473684,89.39210526315789,0.4601990049751244,12.539473684210527,34.56315789473684,0.36279884269834023,18.739473684210527,23.367105263157896,0.8019595697955966,10.628947368421054,35.310526315789474,45.93421052631579,22.76842105263158,13.664473684210526,8.196052631578949,5.627631578947367,5.432894736842105,21.71578947368421,20.75526315789474,6.582894736842105,0.38664664841473106,0.5303364832641527,0.5698664430596911,1.1060485561170685,110.60485561170685,101.84094153461443
Brooklyn Nets,76.0,35.0,41.0,0.4605263157894737,48.53552631578947,111.44868421052632,40.17368421052631,90.32105263157894,0.44478759979022203,13.210526315789474,38.5578947368421,0.34261534261534266,17.94078947368421,24.084210526315786,0.7449191433566434,10.58026315789474,37.143421052631574,47.723684210526315,24.526315789473685,15.232894736842105,6.3960526315789465,4.467105263157894,5.272368421052631,21.00263157894737,21.19736842105263,-1.611842105263158,0.42689819940562906,0.5179185362158383,0.5521738835658304,1.0556778094408141,105.56778094408142,104.40590126602868
Charlotte Hornets,65.0,23.0,42.0,0.35384615384615387,48.447692307692314,102.88923076923078,37.31230769230769,85.9523076923077,0.4341047808265764,12.076923076923077,34.35076923076923,0.35157649587961304,16.193846153846152,21.63692307692308,0.7484357224118315,10.981538461538463,31.80307692307692,42.77538461538462,23.83230769230769,14.603076923076921,6.584615384615384,4.133846153846155,5.044615384615385,18.815384615384616,20.56923076923077,-6.747692307692308,0.3996491793302189,0.5043584098516172,0.538841932179945,1.0382983321523784,103.82983321523784,98.1783900161951
Chicago Bulls,65.0,22.0,43.0,0.3384615384615385,48.22923076923077,106.84153846153846,39.56923076923077,88.65846153846154,0.44631082112861803,12.20923076923077,35.106153846153845,0.34778035847320216,15.470769230769232,20.48769230769231,0.7551250281594953,10.466153846153846,31.384615384615383,41.85076923076923,23.25846153846154,15.46,10.007692307692308,4.075384615384615,5.904615384615385,21.783076923076923,19.170769230769228,-3.076923076923077,0.39597070868327894,0.5151662386339974,0.5469346082093666,1.0406620484949982,104.06620484949983,102.17892245366679
Cleveland Cavaliers,65.0,19.0,46.0,0.2923076923076923,48.38923076923077,106.88615384615385,40.29538461538461,87.91692307692308,0.4583347915864627,11.178461538461537,31.835384615384612,0.35113323346059055,15.118461538461538,19.93692307692308,0.7583146847750597,10.816923076923075,33.403076923076924,44.24307692307692,23.070769230769233,16.506153846153847,6.869230769230769,3.255384615384615,6.3538461538461535,18.284615384615385,19.644615384615385,-7.878461538461539,0.36210758408287536,0.521908795016274,0.5527307489375948,1.0440303212997453,104.40303212997452,101.55489396877883
Dallas Mavericks,80.0,45.0,35.0,0.5625,48.49125,117.25125,41.735,90.22,0.4625914431389936,15.071250000000001,41.05125,0.36713254772997167,18.7025,24.13,0.7750725238292583,10.3625,36.36125,46.723749999999995,24.472500000000004,12.713750000000001,6.18,4.78,4.10375,19.78875,21.577500000000004,4.078749999999999,0.4550127466193749,0.5461164375969851,0.581388862443622,1.1362826944294637,113.62826944294638,102.14307942154512
Denver Nuggets,78.0,48.0,30.0,0.6153846153846154,48.635897435897434,111.47692307692309,42.069230769230764,88.93333333333334,0.4730423249913504,11.292307692307693,31.0,0.3642679900744417,16.07179487179487,20.605128205128203,0.7799900447984073,10.833333333333334,33.10769230769231,43.94102564102564,26.46666666666667,13.620512820512822,7.746153846153845,4.628205128205129,4.369230769230769,20.402564102564103,20.41282051282051,1.4846153846153847,0.348575712143928,0.5365298120170683,0.5687621926203773,1.106067035660969,110.6067035660969,99.46901729228176
Detroit Pistons,66.0,20.0,46.0,0.30303030303030304,48.368181818181824,107.23181818181817,39.31818181818182,85.7439393939394,0.4585534802353731,12.003030303030304,32.672727272727265,0.3673715451678725,16.62878787878788,22.363636363636363,0.7435636856368564,9.760606060606062,31.951515151515146,41.71212121212121,24.075757575757574,15.283333333333333,7.433333333333334,4.5227272727272725,5.584848484848484,19.683333333333334,19.80151515151515,-3.5348484848484847,0.38104999028114,0.5285469420932657,0.5609301042713527,1.060581084483234,106.0581084483234,100.33703599285779
Golden State Warriors,65.0,15.0,50.0,0.23076923076923078,48.38615384615385,106.3323076923077,38.60923076923077,88.14461538461538,0.43802143330889803,10.427692307692308,31.27230769230769,0.3334481231859104,18.683076923076925,23.244615384615386,0.8037593487325435,9.935384615384615,32.895384615384614,42.8476923076923,25.570769230769233,14.907692307692308,8.22923076923077,4.60923076923077,4.929230769230769,20.058461538461536,20.11230769230769,-8.703076923076924,0.3547840960659057,0.497172478793591,0.5404588786455717,1.0289106076223584,102.89106076223584,102.51979523703537
